"id","repo_id","committer","message","comment_count","verification"
"160","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Merge branch 'master' of https://github.com/flyway/flyway","0","0"
"161","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Override executeInTransaction per script","0","0"
"162","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Add warning to clarify solution to #2558","0","0"
"163","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","#1735 Add Snowflake support","0","0"
"164","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Fix #2546 #2478: Allow overriding decision to execute script in transaction","0","1"
"165","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Current-schema placeholder","0","0"
"166","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Skip command added","0","0"
"167","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","JSON error handling","0","0"
"168","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Pro/Enterprise license changes, to make source code consistent with flywaydb.org","0","0"
"169","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Gradle Plugin: Fix reading CONFIG_FILES from project properties (#2554)

In the Gradle Plugin:
When reading CONFIG_FILES from getProject().getProperties(), it was wrongly read from System.getProperties()","0","0"
"170","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Add debug logging to environment variable substitution","0","1"
"171","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fixed #2553 More helpful error message","0","0"
"172","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fixed #2535 CREATE TABLE AS SELECT invalid for MySQL when enforcing GTID consistency","0","0"
"173","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fixed #2532 Add H2 1.4.200 support","0","0"
"174","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","#1466 Added Resource name cache","0","0"
"175","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Fix #2550: Oracle SQL*Plus SET ECHO","0","1"
"176","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fixed #2542 MS-SQL sprocs that cannot be run in transactions","0","0"
"177","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Machine-readable error codes","0","0"
"178","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fixed #2539 HSQLDB couldn't parse DROP INDEX IF EXISTS foo;","0","0"
"179","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Fix #2493: Allow spaces around division operator within PL/SQL","0","1"
"180","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fixes to JSON output

This is still an experimental feature. It may change without warning","0","0"
"181","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Fix #1479: Expand environment variables in config","0","1"
"182","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fixed issue related to #2519 for Azure MySQL Database Basic edition","0","0"
"183","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Warn if dots are used as path separators

Related to #982","0","0"
"184","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Retry more on failed maven deployment","0","0"
"185","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fixed #2531 Detect MariaDB version correctly when Azure-for-MariaDB gives wrong metadata","0","0"
"186","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Fix #2530: Empty line after ""/"" delimiter causes migration to fail","0","1"
"187","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Fix regression in Community edition","0","1"
"188","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Read Git URL from environment variable","0","1"
"189","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fix line ending","0","0"
"190","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Update dependencies","0","0"
"191","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fixes #2519 Azure MySQL database version incorrectly detected (5.6 instead of 5.7)","0","0"
"192","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Bump supported Cockroach version","0","0"
"193","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","web-flow","Use dockerized Maven for running build in Travis","0","1"
"194","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Add experimental JSON output for info command

CLI only

This feature is not officially supported or documented","0","0"
"195","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Fixed #2511 #2522 Issue with H2 parser in MySQL mode","0","0"
"196","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Fix #2523: SQL*Plus word wrapping fails","0","1"
"197","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fixed #2183: Fail-fast when errorOverrides are used with batch=true","0","0"
"198","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fixed #2514: Azure SQL Server issue","0","0"
"199","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fix #2504","0","0"
"200","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fix #2503","0","0"
"201","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fixed #2116 validate() reports all validation failures","0","0"
"202","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Fix #2500: Cannot create AD account on MSSQL","0","1"
